"","Estimate","Std. Error","t value","Pr(>|t|)","signf"
"(Intercept)",3.027,0.089,33.987,0,1
"Farmpc",-0.002,0.001,-2.379,0.018,1
"GenderMale",-0.1,0.037,-2.672,0.008,1
"Ladder",-0.025,0.009,-2.649,0.008,1
"tlu",-0.003,0.005,-0.605,0.545,0
"DisasterFreeNo",-0.06,0.052,-1.148,0.251,0
"EducationBasic Literacy",-0.028,0.051,-0.553,0.58,0
"EducationPrimary",0.003,0.058,0.052,0.958,0
"EducationSecondary or more",-0.219,0.069,-3.182,0.002,1
"EnergySuffNo",0.14,0.058,2.395,0.017,1
"EnoughFoodNo",-0.03,0.081,-0.375,0.708,0
"EnoughIncomeNo",0.069,0.062,1.1,0.272,0
"HealthyNo",0.147,0.062,2.39,0.017,1
"LocationSulubung",-0.399,0.067,-5.933,0,1
"LocationYamphudin",-0.867,0.068,-12.761,0,1
"WaterAccessNo",0.008,0.063,0.121,0.903,0
"EnoughIncomeNo:LocationSulubung",-0.046,0.089,-0.517,0.605,0
"EnoughIncomeNo:LocationYamphudin",0.19,0.104,1.836,0.067,0
"LocationSulubung:HealthyNo",-0.223,0.097,-2.301,0.022,1
"LocationYamphudin:HealthyNo",-0.183,0.107,-1.711,0.088,0
"LocationSulubung:WaterAccessNo",0.02,0.087,0.234,0.815,0
"LocationYamphudin:WaterAccessNo",0.38,0.12,3.172,0.002,1
