"","Estimate","Std. Error","t value","Pr(>|t|)","signf"
"(Intercept)",3.077,0.119,25.91,0,1
"Age",-0.001,0.002,-0.694,0.488,0
"Farmpc",-0.002,0.001,-2.301,0.022,1
"GenderMale",-0.087,0.042,-2.08,0.038,1
"Ladder",-0.024,0.009,-2.621,0.009,1
"DisasterFreeNo",-0.059,0.053,-1.129,0.259,0
"EducationBasic Literacy",-0.046,0.056,-0.821,0.412,0
"EducationPrimary",-0.024,0.069,-0.35,0.727,0
"EducationSecondary or more",-0.252,0.079,-3.174,0.002,1
"EnergySuffNo",0.135,0.058,2.326,0.02,1
"EnoughFoodNo",-0.03,0.081,-0.378,0.706,0
"EnoughIncomeNo",0.068,0.062,1.089,0.277,0
"HealthyNo",0.156,0.062,2.522,0.012,1
"LocationSulubung",-0.398,0.067,-5.919,0,1
"LocationYamphudin",-0.875,0.068,-12.959,0,1
"WaterAccessNo",0.006,0.063,0.101,0.92,0
"EnoughIncomeNo:LocationSulubung",-0.047,0.089,-0.527,0.599,0
"EnoughIncomeNo:LocationYamphudin",0.192,0.104,1.852,0.065,0
"LocationSulubung:HealthyNo",-0.228,0.097,-2.357,0.019,1
"LocationYamphudin:HealthyNo",-0.182,0.107,-1.697,0.09,0
"LocationSulubung:WaterAccessNo",0.023,0.087,0.262,0.793,0
"LocationYamphudin:WaterAccessNo",0.381,0.12,3.182,0.002,1
